============================================================
D{0-1}背包问题求解结果
============================================================

数据集索引: 1
求解算法: 动态规划
背包容量: 61500.00
最优总价值: 85558.00
求解时间: 6.114545 秒

选中物品详情:
----------------------------------------
物品ID      所属项集      重量        价值        
----------------------------------------
2         13        1251.00   1603.00   
2         26        1418.00   1963.00   
2         57        1231.00   1566.00   
2         58        992.00    1322.00   
2         64        1062.00   1572.00   
2         65        1395.00   1873.00   
2         66        899.00    1238.00   
2         74        1065.00   1428.00   
2         77        450.00    663.00    
2         82        625.00    914.00    
2         89        1133.00   1592.00   
2         90        952.00    1270.00   
302       119       1363.00   1817.00   
302       127       1058.00   1469.00   
302       129       836.00    1066.00   
302       140       890.00    1327.00   
302       142       1024.00   1564.00   
302       144       583.00    868.00    
302       154       567.00    768.00    
302       158       1272.00   1616.00   
302       166       1115.00   1477.00   
302       178       1035.00   1360.00   
302       180       636.00    832.00    
302       196       1126.00   1480.00   
302       197       1057.00   1432.00   
302       209       841.00    1228.00   
302       251       1129.00   1571.00   
302       255       923.00    1237.00   
302       268       1104.00   1647.00   
302       271       652.00    960.00    
302       273       1138.00   1668.00   
302       279       1094.00   1503.00   
302       281       784.00    1119.00   
902       303       967.00    1486.00   
902       317       917.00    1341.00   
902       320       1255.00   1668.00   
902       372       1087.00   1449.00   
902       379       1052.00   1399.00   
902       384       926.00    1324.00   
902       387       1335.00   1797.00   
902       393       700.00    974.00    
902       404       763.00    1219.00   
902       406       1156.00   1680.00   
902       414       1098.00   1655.00   
902       417       861.00    1236.00   
902       421       1212.00   1613.00   
902       425       1214.00   1633.00   
902       435       532.00    786.00    
902       441       1210.00   1663.00   
902       445       816.00    1108.00   
902       448       1234.00   1754.00   
902       454       1141.00   1618.00   
902       460       617.00    789.00    
902       462       1144.00   1488.00   
902       481       802.00    1066.00   
902       501       1058.00   1626.00   
902       504       895.00    1149.00   
902       511       1007.00   1383.00   
902       512       1086.00   1646.00   
902       519       981.00    1447.00   
902       523       808.00    1319.00   
902       536       909.00    1229.00   
----------------------------------------
总计重量: 61483.00 / 61500.00
============================================================
